fastmcp.__all__	attribute	fastmcp/__init__.py	98	106
fastmcp.__getattr__	function	fastmcp/__init__.py	49	95
fastmcp.__version__	attribute	fastmcp/__init__.py	36	36
fastmcp._compat._ALIASES	attribute	fastmcp/_compat.py	40	104
fastmcp._compat._installed	attribute	fastmcp/_compat.py	106	106
fastmcp._compat._make_property	function	fastmcp/_compat.py	109	136
fastmcp._compat.install	function	fastmcp/_compat.py	139	158
fastmcp._install_hints.APP_SUPPORT	attribute	fastmcp/_install_hints.py	11	14
fastmcp._install_hints.CLIENT_SUPPORT	attribute	fastmcp/_install_hints.py	1	4
fastmcp._install_hints.CLI_SUPPORT	attribute	fastmcp/_install_hints.py	16	18
fastmcp._install_hints.SERVER_SUPPORT	attribute	fastmcp/_install_hints.py	6	9
fastmcp._install_hints.full_package	function	fastmcp/_install_hints.py	21	25
fastmcp._warnings.FastMCPDeprecationWarning	class	fastmcp/_warnings.py	4	10
fastmcp.apps.__all__	attribute	fastmcp/apps/__init__.py	21	31
fastmcp.apps.__getattr__	function	fastmcp/apps/__init__.py	37	42
fastmcp.apps.app.F	attribute	fastmcp/apps/app.py	48	48
fastmcp.apps.app.FastMCPApp	class	fastmcp/apps/app.py	149	450
fastmcp.apps.app.FastMCPApp.__init__	function	fastmcp/apps/app.py	158	163
fastmcp.apps.app.FastMCPApp.__repr__	function	fastmcp/apps/app.py	165	166
fastmcp.apps.app.FastMCPApp._get_prompt	function	fastmcp/apps/app.py	428	429
fastmcp.apps.app.FastMCPApp._get_resource	function	fastmcp/apps/app.py	416	417
fastmcp.apps.app.FastMCPApp._get_resource_template	function	fastmcp/apps/app.py	422	423
fastmcp.apps.app.FastMCPApp._get_tool	function	fastmcp/apps/app.py	410	411
fastmcp.apps.app.FastMCPApp._list_prompts	function	fastmcp/apps/app.py	425	426
fastmcp.apps.app.FastMCPApp._list_resource_templates	function	fastmcp/apps/app.py	419	420
fastmcp.apps.app.FastMCPApp._list_resources	function	fastmcp/apps/app.py	413	414
fastmcp.apps.app.FastMCPApp._list_tools	function	fastmcp/apps/app.py	407	408
fastmcp.apps.app.FastMCPApp._local	attribute	fastmcp/apps/app.py	163	163
fastmcp.apps.app.FastMCPApp.add_tool	function	fastmcp/apps/app.py	373	401
fastmcp.apps.app.FastMCPApp.lifespan	function	fastmcp/apps/app.py	431	434
fastmcp.apps.app.FastMCPApp.name	attribute	fastmcp/apps/app.py	162	162
fastmcp.apps.app.FastMCPApp.run	function	fastmcp/apps/app.py	440	450
fastmcp.apps.app.FastMCPApp.tool	function	fastmcp/apps/app.py	196	259
fastmcp.apps.app.FastMCPApp.ui	function	fastmcp/apps/app.py	295	367
fastmcp.apps.app._dispatch_decorator	function	fastmcp/apps/app.py	114	141
fastmcp.apps.app._make_resolver	function	fastmcp/apps/app.py	56	111
fastmcp.apps.app.logger	attribute	fastmcp/apps/app.py	46	46
fastmcp.apps.approval.Approval	class	fastmcp/apps/approval.py	49	198
fastmcp.apps.approval.Approval.__init__	function	fastmcp/apps/approval.py	79	99
fastmcp.apps.approval.Approval.__repr__	function	fastmcp/apps/approval.py	101	102
fastmcp.apps.approval.Approval._approve_text	attribute	fastmcp/apps/approval.py	95	95
fastmcp.apps.approval.Approval._approve_variant	attribute	fastmcp/apps/approval.py	97	97
fastmcp.apps.approval.Approval._register_tools	function	fastmcp/apps/approval.py	104	198
fastmcp.apps.approval.Approval._reject_text	attribute	fastmcp/apps/approval.py	96	96
fastmcp.apps.approval.Approval._reject_variant	attribute	fastmcp/apps/approval.py	98	98
fastmcp.apps.approval.Approval._title	attribute	fastmcp/apps/approval.py	94	94
fastmcp.apps.choice.Choice	class	fastmcp/apps/choice.py	46	141
fastmcp.apps.choice.Choice.__init__	function	fastmcp/apps/choice.py	63	75
fastmcp.apps.choice.Choice.__repr__	function	fastmcp/apps/choice.py	77	78
fastmcp.apps.choice.Choice._register_tools	function	fastmcp/apps/choice.py	80	141
fastmcp.apps.choice.Choice._title	attribute	fastmcp/apps/choice.py	73	73
fastmcp.apps.choice.Choice._variant	attribute	fastmcp/apps/choice.py	74	74
fastmcp.apps.config.AppConfig	class	fastmcp/apps/config.py	85	122
fastmcp.apps.config.AppConfig.csp	attribute	fastmcp/apps/config.py	108	110
fastmcp.apps.config.AppConfig.domain	attribute	fastmcp/apps/config.py	114	114
fastmcp.apps.config.AppConfig.model_config	attribute	fastmcp/apps/config.py	122	122
fastmcp.apps.config.AppConfig.permissions	attribute	fastmcp/apps/config.py	111	113
fastmcp.apps.config.AppConfig.prefers_border	attribute	fastmcp/apps/config.py	115	120
fastmcp.apps.config.AppConfig.resource_uri	attribute	fastmcp/apps/config.py	98	103
fastmcp.apps.config.AppConfig.visibility	attribute	fastmcp/apps/config.py	104	107
fastmcp.apps.config.PrefabAppConfig	class	fastmcp/apps/config.py	125	167
fastmcp.apps.config.PrefabAppConfig.model_post_init	function	fastmcp/apps/config.py	141	167
fastmcp.apps.config.ResourceCSP	class	fastmcp/apps/config.py	21	54
fastmcp.apps.config.ResourceCSP.base_uri_domains	attribute	fastmcp/apps/config.py	47	52
fastmcp.apps.config.ResourceCSP.connect_domains	attribute	fastmcp/apps/config.py	29	34
fastmcp.apps.config.ResourceCSP.frame_domains	attribute	fastmcp/apps/config.py	41	46
fastmcp.apps.config.ResourceCSP.model_config	attribute	fastmcp/apps/config.py	54	54
fastmcp.apps.config.ResourceCSP.resource_domains	attribute	fastmcp/apps/config.py	35	40
fastmcp.apps.config.ResourcePermissions	class	fastmcp/apps/config.py	57	82
fastmcp.apps.config.ResourcePermissions.camera	attribute	fastmcp/apps/config.py	66	68
fastmcp.apps.config.ResourcePermissions.clipboard_write	attribute	fastmcp/apps/config.py	75	80
fastmcp.apps.config.ResourcePermissions.geolocation	attribute	fastmcp/apps/config.py	72	74
fastmcp.apps.config.ResourcePermissions.microphone	attribute	fastmcp/apps/config.py	69	71
fastmcp.apps.config.ResourcePermissions.model_config	attribute	fastmcp/apps/config.py	82	82
fastmcp.apps.config.UI_EXTENSION_ID	attribute	fastmcp/apps/config.py	18	18
fastmcp.apps.config._merge_domains	function	fastmcp/apps/config.py	170	178
fastmcp.apps.config.app_config_to_meta_dict	function	fastmcp/apps/config.py	181	185
fastmcp.apps.config.is_model_visible	function	fastmcp/apps/config.py	188	213
fastmcp.apps.file_upload.FileUpload	class	fastmcp/apps/file_upload.py	102	405
fastmcp.apps.file_upload.FileUpload.__init__	function	fastmcp/apps/file_upload.py	135	157
fastmcp.apps.file_upload.FileUpload.__repr__	function	fastmcp/apps/file_upload.py	159	160
fastmcp.apps.file_upload.FileUpload._description	attribute	fastmcp/apps/file_upload.py	151	151
fastmcp.apps.file_upload.FileUpload._drop_label	attribute	fastmcp/apps/file_upload.py	152	152
fastmcp.apps.file_upload.FileUpload._get_scope_key	function	fastmcp/apps/file_upload.py	166	181
fastmcp.apps.file_upload.FileUpload._max_file_size	attribute	fastmcp/apps/file_upload.py	149	149
fastmcp.apps.file_upload.FileUpload._register_tools	function	fastmcp/apps/file_upload.py	279	405
fastmcp.apps.file_upload.FileUpload._store	attribute	fastmcp/apps/file_upload.py	155	155
fastmcp.apps.file_upload.FileUpload._title	attribute	fastmcp/apps/file_upload.py	150	150
