AssertionError	builtins.pyi	1
AttributeError	builtins.pyi	5
BaseException	builtins.pyi	48
BaseException.__context__	builtins.pyi	1
BaseException.__traceback__	builtins.pyi	3
BaseExceptionGroup	builtins.pyi	1
BaseExceptionGroup.__traceback__	builtins.pyi	1
BaseExceptionGroup.exceptions	builtins.pyi	1
BrokenPipeError	builtins.pyi	1
DeprecationWarning	builtins.pyi	2
EOFError	builtins.pyi	7
Exception	builtins.pyi	49
Exception.__traceback__	builtins.pyi	1
ExceptionGroup	builtins.pyi	1
ExceptionGroup.__traceback__	builtins.pyi	1
ExceptionGroup.exceptions	builtins.pyi	1
False		600
FileNotFoundError	builtins.pyi	1
IPython		3
IPython.core		1
IPython.core.formatters		1
IPython.core.formatters.BaseFormatter		2
IPython.display		2
IPython.display.display		4
ImportError	builtins.pyi	7
IndexError	builtins.pyi	6
KeyError	builtins.pyi	15
KeyboardInterrupt	builtins.pyi	4
LookupError	builtins.pyi	1
ModuleNotFoundError	builtins.pyi	1
NameError	builtins.pyi	2
None		2897
NotImplemented	builtins.pyi	4
NotImplementedError	builtins.pyi	4
OSError	builtins.pyi	16
OSError.errno	builtins.pyi	4
OSError.filename	builtins.pyi	2
OSError.strerror	builtins.pyi	2
RuntimeError	builtins.pyi	12
RuntimeWarning	builtins.pyi	1
Stack.append	builtins.pyi	1
Stack.pop	builtins.pyi	3
StopIteration	builtins.pyi	12
SyntaxError	builtins.pyi	2
SyntaxError.filename	builtins.pyi	1
SyntaxError.lineno	builtins.pyi	1
SyntaxError.msg	builtins.pyi	2
SyntaxError.offset	builtins.pyi	1
SyntaxError.text	builtins.pyi	1
SystemExit	builtins.pyi	2
SystemExit.code	builtins.pyi	1
True		658
TypeError	builtins.pyi	23
UnicodeDecodeError	builtins.pyi	1
UnicodeEncodeError	builtins.pyi	2
UnicodeEncodeError.reason	builtins.pyi	2
UnicodeError	builtins.pyi	3
ValueError	builtins.pyi	35
__class__	builtins.pyi	2
__class__.__name__	builtins.pyi	2
__future__	__future__.pyi	9
__future__.annotations	__future__.pyi	9
__import__	builtins.pyi	1
__init__	builtins.pyi	2
__unknown__.CellTable	rich/_unicode_data/unicode10-0-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode11-0-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode12-0-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode12-1-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode13-0-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode14-0-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode15-0-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode15-1-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode16-0-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode17-0-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode4-1-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode5-0-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode5-1-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode5-2-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode6-0-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode6-1-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode6-2-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode6-3-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode7-0-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode8-0-0.py	1
__unknown__.CellTable	rich/_unicode_data/unicode9-0-0.py	1
_bisect.bisect_left	_bisect.pyi	1
_codecs.lookup	_codecs.pyi	1
_collections_abc.Buffer	_collections_abc.pyi	5
_ctypes.Array	_ctypes.pyi	3
_ctypes.Structure	_ctypes.pyi	5
