cargo_metadata::dependency::DependencyBuilderError	enum	cargo_metadata	0
cargo_metadata::messages::ArtifactBuilderError	enum	cargo_metadata	0
cargo_metadata::messages::ArtifactProfileBuilderError	enum	cargo_metadata	0
cargo_metadata::messages::BuildFinishedBuilderError	enum	cargo_metadata	0
cargo_metadata::messages::BuildScriptBuilderError	enum	cargo_metadata	0
cargo_metadata::messages::CompilerMessageBuilderError	enum	cargo_metadata	0
ra_ap_base_db::input::CrateData	struct	ra_ap_base_db	0
ra_ap_base_db::input::CyclicDependenciesError	struct	ra_ap_base_db	0
ra_ap_base_db::input::Dependency	struct	ra_ap_base_db	0
ra_ap_hir::attrs::AttrsOwner	enum	ra_ap_hir	0
ra_ap_hir::semantics::ToDef	trait	ra_ap_hir	1
ra_ap_ide::doc_links::DocumentationLinks	struct	ra_ap_ide	0
ra_ap_ide::fetch_crates::CrateInfo	struct	ra_ap_ide	0
ra_ap_ide::moniker::MonikerDescriptor	struct	ra_ap_ide	0
ra_ap_ide::references::Declaration	struct	ra_ap_ide	0
ra_ap_ide::static_index::ReferenceData	struct	ra_ap_ide	0
ra_ap_ide::static_index::TokenStore	struct	ra_ap_ide	0
ra_ap_ide::view_memory_layout::MemoryLayoutNode	struct	ra_ap_ide	0
ra_ap_ide::view_memory_layout::RecursiveMemoryLayout	struct	ra_ap_ide	0
ra_ap_project_model::cargo_config_file::CargoConfigFile	struct	ra_ap_project_model	0
ra_ap_project_model::cargo_workspace::DepKind	enum	ra_ap_project_model	0
ra_ap_project_model::cargo_workspace::RustAnalyzerPackageMetaData	struct	ra_ap_project_model	0
ra_ap_project_model::sysroot::RustLibSrcWorkspace	enum	ra_ap_project_model	0
ra_ap_project_model::sysroot::stitched::Stitched	struct	ra_ap_project_model	0
