cargo_metadata::CrateType	deserialize	serde_core::de::Deserialize	fn deserialize<__D>(__deserializer: __D) -> _serde::__private228::Result<Self, __D::Error> where __D: _serde::Deserializer<'de>	
cargo_metadata::CrateType	fmt	core::fmt::Display	fn fmt(&self, f: &mut fmt::Formatter<'_>) -> fmt::Result	
cargo_metadata::CrateType	from	core::convert::From	fn from(value: &str) -> Self	
cargo_metadata::CrateType	from_str	core::str::traits::FromStr	fn from_str(s: &str) -> std::result::Result<Self, Self::Err>	
cargo_metadata::CrateType	serialize	serde_core::ser::Serialize	fn serialize<__S>(&self, __serializer: __S) -> _serde::__private228::Result<__S::Ok, __S::Error> where __S: _serde::Serializer	
cargo_metadata::DepKindInfo	deserialize	serde_core::de::Deserialize	fn deserialize<__D>(__deserializer: __D) -> _serde::__private228::Result<Self, __D::Error> where __D: _serde::Deserializer<'de>	
cargo_metadata::DepKindInfo	serialize	serde_core::ser::Serialize	fn serialize<__S>(&self, __serializer: __S) -> _serde::__private228::Result<__S::Ok, __S::Error> where __S: _serde::Serializer	
cargo_metadata::DepKindInfoBuilder	build	-	fn build(self) -> ::derive_builder::export::core::result::Result<DepKindInfo, DepKindInfoBuilderError>	Builds a new `DepKindInfo`.
cargo_metadata::DepKindInfoBuilder	kind	-	fn kind<VALUE: ::derive_builder::export::core::convert::Into<DependencyKind>>(self, value: VALUE) -> Self	The kind of dependency.
cargo_metadata::DepKindInfoBuilder	target	-	fn target<VALUE: ::derive_builder::export::core::convert::Into<Option<dependency::Platform>>>(self, value: VALUE) -> Self	The target platform for the dependency.
cargo_metadata::DepKindInfoBuilderError	fmt	core::fmt::Display	fn fmt(&self, f: &mut ::derive_builder::export::core::fmt::Formatter<'_>) -> ::derive_builder::export::core::fmt::Result	
cargo_metadata::DepKindInfoBuilderError	from	core::convert::From	fn from(s: ::derive_builder::UninitializedFieldError) -> Self	
cargo_metadata::DepKindInfoBuilderError	from	core::convert::From	fn from(s: ::derive_builder::export::core::string::String) -> Self	
cargo_metadata::Edition	as_str	-	fn as_str(&self) -> &'static str	Return the string representation of the edition
cargo_metadata::Edition	deserialize	serde_core::de::Deserialize	fn deserialize<__D>(__deserializer: __D) -> _serde::__private228::Result<Self, __D::Error> where __D: _serde::Deserializer<'de>	
cargo_metadata::Edition	fmt	core::fmt::Display	fn fmt(&self, f: &mut fmt::Formatter<'_>) -> fmt::Result	
cargo_metadata::Edition	serialize	serde_core::ser::Serialize	fn serialize<__S>(&self, __serializer: __S) -> _serde::__private228::Result<__S::Ok, __S::Error> where __S: _serde::Serializer	
cargo_metadata::FeatureName	as_ref	core::convert::AsRef	fn as_ref(&self) -> &str	
cargo_metadata::FeatureName	borrow	core::borrow::Borrow	fn borrow(&self) -> &str	
cargo_metadata::FeatureName	deref	core::ops::deref::Deref	fn deref(&self) -> &Self::Target	
cargo_metadata::FeatureName	deserialize	serde_core::de::Deserialize	fn deserialize<D>(deserializer: D) -> Result<Self, D::Error> where D: serde::Deserializer<'de>	
cargo_metadata::FeatureName	fmt	core::fmt::Display	fn fmt(&self, f: &mut fmt::Formatter<'_>) -> fmt::Result	
cargo_metadata::FeatureName	from_str	core::str::traits::FromStr	fn from_str(value: &str) -> Result<Self, Self::Err>	
cargo_metadata::FeatureName	into_inner	-	fn into_inner(self) -> T	Convert the wrapped string into its inner type `T`
cargo_metadata::FeatureName	new	-	fn new(name: T) -> Self	Create a new wrapped string
cargo_metadata::FeatureName	serialize	serde_core::ser::Serialize	fn serialize<__S>(&self, __serializer: __S) -> _serde::__private228::Result<__S::Ok, __S::Error> where __S: _serde::Serializer	
cargo_metadata::Metadata	deserialize	serde_core::de::Deserialize	fn deserialize<__D>(__deserializer: __D) -> _serde::__private228::Result<Self, __D::Error> where __D: _serde::Deserializer<'de>	
cargo_metadata::Metadata	index	core::ops::index::Index	fn index(&self, idx: &'a PackageId) -> &Self::Output	
cargo_metadata::Metadata	root_package	-	fn root_package(&self) -> Option<&Package>	Get the workspace's root package of this metadata instance.
cargo_metadata::Metadata	serialize	serde_core::ser::Serialize	fn serialize<__S>(&self, __serializer: __S) -> _serde::__private228::Result<__S::Ok, __S::Error> where __S: _serde::Serializer	
cargo_metadata::Metadata	workspace_default_packages	-	fn workspace_default_packages(&self) -> Vec<&Package>	Get the workspace default packages.
cargo_metadata::Metadata	workspace_packages	-	fn workspace_packages(&self) -> Vec<&Package>	Get the workspace packages.
cargo_metadata::MetadataBuilder	build	-	fn build(self) -> ::derive_builder::export::core::result::Result<Metadata, MetadataBuilderError>	Builds a new `Metadata`.
cargo_metadata::MetadataBuilder	build_directory	-	fn build_directory<VALUE: ::derive_builder::export::core::convert::Into<Option<Utf8PathBuf>>>(self, value: VALUE) -> Self	Build directory
cargo_metadata::MetadataBuilder	packages	-	fn packages<VALUE: ::derive_builder::export::core::convert::Into<Vec<Package>>>(self, value: VALUE) -> Self	A list of all crates referenced by this crate (and the crate itself)
cargo_metadata::MetadataBuilder	resolve	-	fn resolve<VALUE: ::derive_builder::export::core::convert::Into<Option<Resolve>>>(self, value: VALUE) -> Self	Dependencies graph
cargo_metadata::MetadataBuilder	target_directory	-	fn target_directory<VALUE: ::derive_builder::export::core::convert::Into<Utf8PathBuf>>(self, value: VALUE) -> Self	Target directory
cargo_metadata::MetadataBuilder	version	-	fn version<VALUE: ::derive_builder::export::core::convert::Into<usize>>(self, value: VALUE) -> Self	The metadata format version
cargo_metadata::MetadataBuilder	workspace_default_members	-	fn workspace_default_members<VALUE: ::derive_builder::export::core::convert::Into<WorkspaceDefaultMembers>>(self, value: VALUE) -> Self	The list of default workspace members
cargo_metadata::MetadataBuilder	workspace_members	-	fn workspace_members<VALUE: ::derive_builder::export::core::convert::Into<Vec<PackageId>>>(self, value: VALUE) -> Self	A list of all workspace members
cargo_metadata::MetadataBuilder	workspace_metadata	-	fn workspace_metadata<VALUE: ::derive_builder::export::core::convert::Into<serde_json::Value>>(self, value: VALUE) -> Self	The workspace-level metadata object. Null if non-existent.
cargo_metadata::MetadataBuilder	workspace_root	-	fn workspace_root<VALUE: ::derive_builder::export::core::convert::Into<Utf8PathBuf>>(self, value: VALUE) -> Self	Workspace root
cargo_metadata::MetadataBuilderError	fmt	core::fmt::Display	fn fmt(&self, f: &mut ::derive_builder::export::core::fmt::Formatter<'_>) -> ::derive_builder::export::core::fmt::Result	
cargo_metadata::MetadataBuilderError	from	core::convert::From	fn from(s: ::derive_builder::UninitializedFieldError) -> Self	
