angular	rejected	0	0	no
bash	accepted	59	18	yes
c	accepted	125	38	yes
cjs	rejected	0	0	no
clojure	rejected	0	0	no
cmake	rejected	0	0	no
cpp	accepted	206	49	yes
cs	accepted	0	0	no
csharp	accepted	215	25	yes
css	accepted	64	0	yes
cts	rejected	0	0	no
dart	accepted	221	0	yes
dockerfile	rejected	0	0	no
elixir	accepted	45	8	yes
erlang	rejected	0	0	no
go	accepted	107	34	yes
haskell	accepted	174	83	yes
html	accepted	19	0	yes
java	accepted	142	39	yes
javascript	accepted	114	35	yes
js	accepted	0	0	no
json	accepted	12	1	yes
julia	rejected	0	0	no
kotlin	accepted	142	2	yes
kt	accepted	0	0	no
lua	accepted	47	20	yes
make	rejected	0	0	no
markdown	accepted	0	0	no
mjs	rejected	0	0	no
mts	rejected	0	0	no
nim	rejected	0	0	no
ocaml	rejected	0	0	no
perl	rejected	0	0	no
php	accepted	155	30	yes
protobuf	rejected	0	0	no
py	accepted	0	0	no
python	accepted	123	31	yes
r	rejected	0	0	no
rb	accepted	0	0	no
ruby	accepted	134	31	yes
rust	accepted	163	30	yes
scala	accepted	171	31	yes
sh	rejected	0	0	no
solidity	accepted	0	0	no
sql	rejected	0	0	no
svelte	rejected	0	0	no
swift	accepted	186	44	yes
toml	rejected	0	0	no
ts	accepted	0	0	no
tsx	accepted	184	42	yes
typescript	accepted	177	39	yes
vue	rejected	0	0	no
xml	rejected	0	0	no
yaml	accepted	36	1	yes
zig	rejected	0	0	no
