napi	ts	class	SgNode	item	sgnode.d.ts
napi	ts	class	SgRoot	item	sgnode.d.ts
napi	ts	enum	Lang	item	lang.d.ts
napi	ts	interface	DynamicLangRegistrations	item	registerDynamicLang.d.ts
napi	ts	interface	Edit	item	sgnode.d.ts
napi	ts	interface	FileOption	item	config.d.ts
napi	ts	interface	FindConfig	item	config.d.ts
napi	ts	interface	LangRegistration	item	registerDynamicLang.d.ts
napi	ts	interface	NapiConfig	item	config.d.ts
napi	ts	interface	NodeBasicInfo	item	staticTypes.d.ts
napi	ts	interface	NodeFieldInfo	item	staticTypes.d.ts
napi	ts	interface	NodeMethod	item	sgnode.d.ts
napi	ts	interface	NodeType	item	staticTypes.d.ts
napi	ts	interface	NthChildObject	item	rule.d.ts
napi	ts	interface	PatternObject	item	rule.d.ts
napi	ts	interface	Pos	item	sgnode.d.ts
napi	ts	interface	Position	item	rule.d.ts
napi	ts	interface	Range	item	rule.d.ts
napi	ts	interface	Range	item	sgnode.d.ts
napi	ts	interface	Relation	item	rule.d.ts
napi	ts	interface	Rule	item	rule.d.ts
napi	ts	interface	TypesMap	item	staticTypes.d.ts
napi	ts	module	'./types/api'	item	index.d.ts
napi	ts	module	'./types/config'	item	index.d.ts
napi	ts	module	'./types/deprecated'	item	index.d.ts
napi	ts	module	'./types/lang'	item	index.d.ts
napi	ts	module	'./types/registerDynamicLang'	item	index.d.ts
napi	ts	module	'./types/rule'	item	index.d.ts
napi	ts	module	'./types/sgnode'	item	index.d.ts
napi	ts	module	css	item	deprecated.d.ts
napi	ts	module	html	item	deprecated.d.ts
napi	ts	module	js	item	deprecated.d.ts
napi	ts	module	jsx	item	deprecated.d.ts
napi	ts	module	ts	item	deprecated.d.ts
napi	ts	module	tsx	item	deprecated.d.ts
napi	ts	struct	ChildKinds	item	staticTypes.d.ts
napi	ts	struct	CssTypes	item	Css.d.ts
napi	ts	struct	CustomLang	item	lang.d.ts
napi	ts	struct	ExtractField	item	staticTypes.d.ts
napi	ts	struct	FieldNames	item	staticTypes.d.ts
napi	ts	struct	FieldNode	item	sgnode.d.ts
napi	ts	struct	FieldNodeImpl	item	sgnode.d.ts
napi	ts	struct	HtmlTypes	item	Html.d.ts
napi	ts	struct	JavaScriptTypes	item	JavaScript.d.ts
napi	ts	struct	Kinds	item	staticTypes.d.ts
napi	ts	struct	LowPriorityKey	item	staticTypes.d.ts
napi	ts	struct	Matches	item	rule.d.ts
napi	ts	struct	NamedChildKinds	item	staticTypes.d.ts
napi	ts	struct	NamedKinds	item	staticTypes.d.ts
napi	ts	struct	NapiLang	item	lang.d.ts
napi	ts	struct	NoNever	item	staticTypes.d.ts
napi	ts	struct	NthChild	item	rule.d.ts
napi	ts	struct	PatternStyle	item	rule.d.ts
napi	ts	struct	RefineNode	item	sgnode.d.ts
napi	ts	struct	ResolveType	item	staticTypes.d.ts
napi	ts	struct	RootKind	item	staticTypes.d.ts
napi	ts	struct	Strictness	item	rule.d.ts
napi	ts	struct	TsxTypes	item	Tsx.d.ts
napi	ts	struct	TypeScriptTypes	item	TypeScript.d.ts
napi	ts	struct	TypesInField	item	staticTypes.d.ts
napi	ts	struct	UtilityCall	item	rule.d.ts
pyo3	python	class	Edit	item	ast_grep_py.pyi
pyo3	python	class	Pos	item	ast_grep_py.pyi
pyo3	python	class	Range	item	ast_grep_py.pyi
pyo3	python	class	SgNode	item	ast_grep_py.pyi
pyo3	python	class	SgRoot	item	ast_grep_py.pyi
pyo3	python	function	register_dynamic_language	item	ast_grep_py.pyi
